trip_id,subscriber_type,bike_id,bike_type,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes
19372058,Single Trip ,895,classic,2019-03-13 12:44:25.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,18
19453246,Local365,2205,classic,2019-03-28 10:45:21.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,4
19535678,Local365,3,classic,2019-04-11 09:43:37.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,4
19542880,Local365,852,classic,2019-04-12 14:19:59.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,4
19477573,Local365,12764,classic,2019-04-02 09:19:48.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,5
19483211,Local365,956,classic,2019-04-03 09:25:48.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,3
19494698,Local365,140,classic,2019-04-05 09:31:40.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,4
19815723,Local365,962,classic,2019-05-23 09:37:07.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,2
19764862,Local365,2204,classic,2019-05-15 09:11:34.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,2
19732507,Local365,258G,classic,2019-05-10 13:21:55.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,3
19772693,Local365,453,classic,2019-05-16 09:35:17.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,3
19862076,Local365,765,classic,2019-05-29 09:48:46.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,3
19779889,Local365,369G,classic,2019-05-17 09:25:31.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,3
18591658,Local365+Guest Pass,873,classic,2018-09-18 12:11:25.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,3
18688824,Walk Up,106,classic,2018-09-28 15:23:17.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,14
18666579,Local365,522,classic,2018-09-26 09:41:25.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,3
